Pairings:
C908: P730
C32: P498
C46: P627
C554: P600
C439: P978
C255: P958
C886: P516
C614: P399
C928: P571
C539: P947
C140: P995
C808: P74
C902: P887
C170: P990
C433: P606
C879: P997
C588: P199
C960: P900
C248: P537
C617: P162
C415: P226
C51: P174
C493: P576
C259: P21
C506: P512
C431: P757
C345: P233
C289: P258
C288: P236
C816: P23
C733: P930
C191: P824
C11: P320
C354: P282
C731: P335
C673: P502
C460: P731
C519: P785
C324: P855
C16: P388
C849: P536
C752: P382
C93: P950
C401: P764
C767: P821
C866: P139
C484: P919
C770: P172
C424: P658
C660: P812
C187: P327
C643: P818
C406: P572
C671: P625
C924: P15
C474: P302
C606: P581
C302: P816
C456: P375
C36: P326
C954: P446
C208: P532
C449: P441
C616: P142
C30: P566
C221: P12
C177: P960
C689: P416
C823: P344
C99: P985
C258: P239
C583: P279
C730: P432
C635: P611
C299: P455
C397: P667
C34: P553
C210: P676
C73: P287
C340: P8
C937: P363
C202: P90
C562: P877
C891: P219
C168: P664
C779: P504
C488: P680
C797: P86
C892: P573
C12: P325
C275: P895
C944: P92
C729: P709
C134: P19
C369: P799
C62: P588
C151: P82
C338: P682
C561: P257
C111: P42
C285: P556
C24: P358
C851: P390
C242: P689
C240: P614
C292: P961
C724: P107
C122: P193
C368: P616
C147: P918
C149: P459
C512: P987
C342: P122
C224: P214
C89: P44
C862: P369
C428: P437
C794: P317
C894: P378
C618: P770
C846: P547
C517: P690
C220: P293
C76: P55
C403: P61
C916: P48
C696: P222
C511: P765
C120: P54
C42: P685
C257: P903
C873: P458
C436: P336
C453: P507
C669: P701
C876: P318
C139: P892
C973: P525
C391: P585
C320: P775
C392: P745
C888: P837
C329: P247
C903: P70
C996: P499
C467: P880
C952: P541
C271: P595
C795: P860
C698: P968
C104: P372
C452: P881
C55: P408
C186: P806
C136: P797
C471: P845
C501: P377
C412: P166
C383: P849
C355: P653
C307: P815
C712: P551
C263: P164
C278: P208
C649: P225
C782: P912
C681: P636
C820: P777
C602: P417
C247: P24
C446: P289
